Utterance,Intended,Onglide,AlignmentWord,AlignmentVowel,TargetHeight,refL,Speaker,DurationOpeningGesture,DisplacementOpeningGesture,Vowel,PitchAccentConsensus,PitchAccentTranscriber1,PitchAccentTranscriber2,DifferenceType,RelativeAlignmentSyllable
FOC_MB135,contrastive,5.93,251.01,131.1,6.48,125.46,M2,165.236,6.85,o,L+H*,L+H*,L+H*,S,0.95
FOC_MB136,broad,-0.99,202.47,111.18,4.29,103.79,M2,119.34,15.07,a,H+!H*,H*,H+!H*,DH,0.88
FOC_MB138,narrow,4.13,202.2,106.13,7.97,102.35,M2,119.983,6.12,o,L+H*,L+H*,L+H*,S,0.9
FOC_MB139,contrastive,5.93,212.97,124.86,6.81,105.74,M2,126.287,15.91,a,L+H*,L+H*,L+H*,S,0.92
FOC_MB142,narrow,3.3,164.37,62.94,7.81,103.85,M2,92.484,5.39,i,L+H*,H*,L+H*,HLH,0.9
FOC_MB145,broad,3.26,206.26,106.95,6.87,109.15,M2,132.977,6.41,o,L+H*,H*,L+H*,HLH,0.94
FOC_MB146,contrastive,6.25,157.16,65.58,8.95,108.89,M2,93.1,9.27,i,L+H*,L+H*,L+H*,S,0.87
FOC_MB147,narrow,-3.44,NA,NA,2.56,103.38,M2,127.92,15.75,a,H*,NA,L+H*,M,NA
FOC_MB149,broad,2.36,163.69,59.93,8.39,101.17,M2,89.594,8.1,i,H*,H*,L+H*,HLH,0.9
FOC_MB151,contrastive,NA,223.8,121.91,9.77,105.24,M2,141.103,5.44,o,L+H*,L+H*,L+H*,S,0.97
FOC_MB152,broad,-0.8,210.13,124.96,5.18,102.27,M2,118.994,16.21,a,H+!H*,H*,H+!H*,DH,0.93
FOC_MB154,narrow,3.4,204.09,106.83,8.54,98.5,M2,135.562,5.07,o,L+H*,L+H*,L+H*,S,0.9
FOC_MB155,contrastive,5.18,216.84,131.54,7.4,103.73,M2,120.737,18.57,a,L+H*,L+H*,L+H*,S,0.94
FOC_MB158,narrow,4.77,156.78,71.8,7.97,106.67,M2,88.016,8.18,i,L+H*,H*,L+H*,HLH,0.87
FOC_MB161,broad,0.97,172.96,81.02,NA,NA,M2,104.937,4.92,o,H*,H*,H+!H*,DH,0.85
FOC_MB162,contrastive,5.54,169.37,89.08,8.62,106.26,M2,89.668,7.04,i,L+H*,L+H*,L+H*,S,0.99
FOC_MB163,narrow,0.68,195.39,106.13,5.18,105.35,M2,123.063,15.55,a,H*,H*,H+!H*,DH,0.85
FOC_MB165,broad,4.57,152.76,72.46,7.73,108.89,M2,91.736,7.78,i,L+H*,H*,L+H*,HLH,0.88
FOC_MB167,contrastive,8.98,211.84,100.79,10.43,101.64,M2,133.318,4.14,o,L+H*,L+H*,L+H*,S,0.9
FOC_MB168,broad,0.33,197.23,106.69,5.12,106.85,M2,110.738,12.83,a,H+!H*,H*,H+!H*,DH,0.91
FOC_MB170,narrow,4.49,188.69,93.72,8.84,106.8,M2,111.462,5.08,o,L+H*,L+H*,L+H*,S,0.91
FOC_MB171,contrastive,5.27,NA,NA,NA,NA,M2,124.635,17.36,a,L+H*,NA,L+H*,M,0.92
FOC_MB174,narrow,4.07,158.14,81.64,8.05,106.7,M2,90.29,8.02,i,L+H*,H*,L+H*,HLH,0.89
FOC_MB177,broad,1,181.58,93.01,5.41,103.1,M2,115.632,5.02,o,H*,H*,H+!H*,DH,0.94
FOC_MB178,contrastive,8.05,185.7,97.39,9.67,104.9,M2,104.117,9.18,i,L+H*,L+H*,L+H*,S,0.89
FOC_MB179,narrow,0.7,198.82,113.59,4.58,103.38,M2,113.136,15.99,a,H*,H*,H+!H*,DH,0.91
FOC_MB201,broad,1.99,174.84,100.38,5.5,108.26,M2,82.795,6.37,i,H*,H*,H+!H*,DH,1.05
FOC_MB203,contrastive,5.54,204.6,95.38,8.77,99.81,M2,129.789,5.81,o,L+H*,L+H*,L+H*,S,0.9
FOC_MB204,broad,1.66,200.28,119.86,5.21,107.97,M2,116.432,14.77,a,H*,H*,H+!H*,DH,0.91
FOC_MB206,narrow,6.58,222.02,122.83,7.92,107.08,M2,93.846,4.43,o,L+H*,H*,L+H*,HLH,0.88
FOC_MB207,contrastive,4.51,228.81,143.24,7.98,105.7,M2,128.734,16.66,a,L+H*,L+H*,L+H*,S,0.95
FOC_MB210,narrow,5.72,176.38,63.39,8.65,106,M2,89.075,8.08,i,L+H*,H*,L+H*,HLH,0.97
FOC_MB213,broad,4.22,186.18,90.2,6.84,106.99,M2,115.563,5.68,o,L+H*,H*,L+H*,HLH,0.88
FOC_MB214,contrastive,8.33,183.88,64.76,10.02,99.81,M2,98.505,9.17,i,L+H*,L+H*,L+H*,S,0.9
FOC_MB215,narrow,5.31,219.45,131,6.2,110.99,M2,130.179,17.21,a,L+H*,L+H*,L+H*,S,0.88
FOC_MB217,broad,2.87,165.94,77.02,7.22,105.55,M2,87.683,6.45,i,H*,H*,L+H*,HLH,0.98
FOC_MB219,contrastive,6.99,240.6,119.75,NA,NA,M2,148.138,5.95,o,L+H*,L+H*,L+H*,S,0.96
FOC_MB220,broad,0.7,212.14,117.69,5.41,101.37,M2,124.461,12.39,a,H+!H*,H*,H+!H*,DH,0.95
FOC_MB222,narrow,4.39,197.24,96.45,6.75,106.31,M2,134.832,4.58,o,L+H*,L+H*,L+H*,S,0.88
FOC_MB223,contrastive,8.27,254.35,133.77,8.14,95.75,M2,134.209,19.25,a,L+H*,L+H*,L+H*,S,1.01
FOC_MB230,contrastive,8.81,192.52,99.1,10.4,97.53,M2,95.202,8.04,i,L+H*,L+H*,L+H*,S,0.99
FOC_MB231,narrow,2,212,121.68,5.91,103.88,M2,119.731,15.2,a,H*,H*,H+!H*,DH,0.91
